customer_id,transaction_date,amount,day_of_week,hour,week_num,days_since_last_purchase
C101,2025-01-05 08:30:00,120.5,Sunday,8,1,527
C102,2025-01-05 09:15:00,250.0,Sunday,9,1,533
C101,2025-01-05 14:45:00,45.0,Sunday,14,1,527
C103,2025-01-06 10:20:00,310.75,Monday,10,2,523
C104,2025-01-07 16:10:00,89.99,Tuesday,16,2,541
C102,2025-01-08 11:05:00,175.2,Wednesday,11,2,533
C105,2025-01-10 18:30:00,500.0,Friday,18,2,537
C101,2025-01-12 13:00:00,65.0,Sunday,13,2,527
C103,2025-01-14 20:45:00,210.0,Tuesday,20,3,523
C104,2025-01-15 07:50:00,135.4,Wednesday,7,3,541
C105,2025-01-18 12:15:00,420.0,Saturday,12,3,537
C102,2025-01-20 15:30:00,95.5,Monday,15,4,533
C101,2025-01-22 09:40:00,300.0,Wednesday,9,4,527
C103,2025-01-25 17:25:00,180.25,Saturday,17,4,523
C104,2025-01-28 11:10:00,260.0,Tuesday,11,5,541
C105,2025-02-01 14:00:00,150.0,Saturday,14,5,537
C102,2025-02-05 10:50:00,340.0,Wednesday,10,6,533
C101,2025-02-10 19:15:00,115.8,Monday,19,7,527
C106,2025-02-12 08:05:00,75.0,Wednesday,8,7,526
C103,2025-02-15 13:40:00,225.5,Saturday,13,7,523
