customer_id,revenue,age
1,102.5,28
2,95.0,34
3,110.2,45
4,88.9,52
5,100.0,23
6,105.4,41
7,92.15,38
8,115.0,60
9,85.6,19
10,120.0,31
11,139.0,35
12,66.0,42
15,90.4,29
16,107.0,47
17,99.5,33
18,112.0,50
19,89.0,22
20,101.0,40
21,94.5,37
22,118.0,55
23,87.0,25
24,125.0,63
25,96.0,30
26,104.0,46
27,100.5,32
28,111.0,49
29,86.5,21
30,102.0,39
31,93.0,36
32,116.0,58
33,85.0,20
34,122.0,62
35,97.5,27
36,106.0,44
37,99.0,31
38,113.5,51
39,88.0,24
40,101.5,43
41,95.5,35
42,119.0,57
43,86.0,26
44,124.0,64
45,96.5,29
50,103.0,42
51,91.0,39
52,108.5,47
53,101.2,33
54,114.0,52
55,89.5,23
56,100.8,41
57,94.0,38
58,117.5,56
59,86.8,21
60,123.0,61
61,96.2,30
62,104.8,45
63,100.7,32
64,111.5,50
65,87.2,22
66,102.8,40
67,93.5,37
68,115.5,59
69,85.4,19
70,121.5,63
71,97.0,28
72,105.8,44
73,99.8,31
74,112.5,51
75,88.5,24
76,101.9,43
77,95.2,36
78,118.5,55
79,86.2,25
80,124.5,65
81,96.8,29
82,105.2,46
83,100.1,33
84,110.5,49
85,87.8,22
86,103.4,41
87,92.8,38
88,116.5,57
89,85.9,20
90,120.5,60
91,95.8,27
92,107.5,45
93,98.8,32
94,113.0,50
95,89.2,23
96,102.2,42
97,94.2,35
98,117.0,56
99,86.4,21
100,122.5,62
