date,revenue,orders,customers,revenue_ma7,revenue_ma30,cumulative_revenue,cumulative_orders
2024-01-01,1149.01,23,19,,,1149.01,23
2024-01-02,979.14,15,12,,,2128.15,38
2024-01-03,1235.53,27,25,,,3363.6800000000003,65
2024-01-04,1518.7,23,18,,,4882.38,88
2024-01-05,1012.06,22,19,,,5894.4400000000005,110
2024-01-06,1032.52,16,14,,,6926.960000000001,126
2024-01-07,1596.9,28,21,1217.6942857142858,,8523.86,154
2024-01-08,1373.64,21,18,1249.7842857142857,,9897.5,175
2024-01-09,1022.74,22,17,1256.0128571428572,,10920.24,197
2024-01-10,1346.38,24,22,1271.8485714285714,,12266.619999999999,221
2024-01-11,1064.48,16,12,1206.9599999999998,,13331.099999999999,237
2024-01-12,1083.51,19,15,1217.1671428571428,,14414.609999999999,256
2024-01-13,1315.38,22,16,1257.5757142857144,,15729.989999999998,278
2024-01-14,688.17,11,10,1127.757142857143,,16418.159999999996,289
2024-01-15,763.84,14,11,1040.642857142857,,17181.999999999996,303
2024-01-16,1131.56,19,16,1056.1885714285715,,18313.559999999998,322
2024-01-17,1015.11,17,12,1008.8642857142858,,19328.67,339
2024-01-18,1431.69,22,19,1061.3228571428572,,20760.359999999997,361
2024-01-19,1083.2,23,18,1061.2785714285715,,21843.559999999998,384
2024-01-20,949.84,18,16,1009.0585714285714,,22793.399999999998,402
2024-01-21,1830.85,28,22,1172.2985714285714,,24624.249999999996,430
2024-01-22,1340.76,21,16,1254.7157142857143,,25965.009999999995,451
2024-01-23,1445.76,26,19,1299.6014285714284,,27410.769999999993,477
2024-01-24,1014.77,17,14,1299.552857142857,,28425.539999999994,494
2024-01-25,1295.24,25,21,1280.06,,29720.779999999995,519
2024-01-26,1507.83,30,22,1340.7214285714285,,31228.609999999993,549
2024-01-27,1144.9,21,19,1368.5871428571427,,32373.509999999995,570
2024-01-28,1618.19,31,26,1338.207142857143,,33991.7,601
2024-01-29,1340.18,23,19,1338.1242857142856,,35331.88,624
2024-01-30,1447.37,31,25,1338.3542857142857,1225.975,36779.25,655
2024-01-31,1368.47,21,17,1388.882857142857,1233.2903333333334,38147.72,676
2024-02-01,2118.37,32,27,1506.472857142857,1271.2646666666667,40266.090000000004,708
2024-02-02,1571.92,26,20,1515.6285714285714,1282.4776666666667,41838.01,734
2024-02-03,1271.52,22,17,1533.717142857143,1274.2383333333335,43109.53,756
2024-02-04,1848.03,36,33,1566.5514285714285,1302.1039999999998,44957.56,792
2024-02-05,1247.01,20,18,1553.2414285714287,1309.2536666666667,46204.57,812
2024-02-06,1687.47,28,23,1587.5414285714287,1312.2726666666667,47892.04,840
2024-02-07,1048.02,21,16,1541.7628571428572,1301.4186666666667,48940.06,861
2024-02-08,1248.11,19,16,1417.44,1308.931,50188.17,880
2024-02-09,1715.82,27,22,1437.9971428571428,1321.2456666666665,51903.99,907
2024-02-10,1888.04,29,21,1526.0714285714287,1348.6976666666667,53792.03,936
2024-02-11,1727.17,29,22,1508.8057142857144,1370.1529999999998,55519.2,965
2024-02-12,1649.87,28,25,1566.357142857143,1381.3026666666667,57169.07,993
2024-02-13,1602.56,30,26,1554.2271428571426,1411.782333333333,58771.63,1023
2024-02-14,1257.19,19,14,1584.1085714285714,1428.2273333333333,60028.82,1042
2024-02-15,1492.17,23,18,1618.9742857142858,1440.2476666666666,61520.99,1065
2024-02-16,1576.84,34,27,1599.1200000000001,1458.9720000000002,63097.829999999994,1099
2024-02-17,2038.61,44,38,1620.6299999999999,1479.2026666666668,65136.439999999995,1143
2024-02-18,1830.52,34,25,1635.3942857142854,1504.1133333333335,66966.95999999999,1177
2024-02-19,1204.01,19,14,1571.7,1512.5856666666666,68170.96999999999,1196
2024-02-20,1835.16,28,25,1604.9285714285713,1512.7293333333332,70006.12999999999,1224
2024-02-21,1626.96,33,25,1657.7528571428572,1522.2693333333332,71633.09,1257
2024-02-22,1543.49,27,23,1665.0842857142857,1525.5270000000003,73176.58,1284
2024-02-23,1933.69,36,28,1716.0628571428572,1556.1576666666665,75110.27,1320
2024-02-24,2062.65,32,24,1719.4971428571428,1581.738,77172.92,1352
2024-02-25,2035.44,32,25,1748.7714285714287,1599.325,79208.36,1384
2024-02-26,1506.55,24,21,1791.9914285714287,1611.38,80714.91,1408
2024-02-27,1667.36,30,27,1768.0200000000002,1613.019,82382.27,1438
2024-02-28,1860.88,34,31,1801.4371428571428,1630.3756666666668,84243.15000000001,1472
2024-02-29,2055.11,40,33,1874.5257142857142,1650.6336666666668,86298.26000000001,1512
2024-03-01,1619.21,35,30,1829.6000000000001,1658.9916666666666,87917.47000000002,1547
2024-03-02,1707.37,27,21,1778.8457142857144,1645.2916666666667,89624.84000000001,1574
2024-03-03,1430.86,23,18,1692.4771428571428,1640.5896666666665,91055.70000000001,1597
2024-03-04,1403.19,21,19,1677.7114285714285,1644.9786666666666,92458.89000000001,1618
