customer_id,total_transactions,days_as_customer,total_spent,days_since_last_purchase,purchase_count,transactions_per_month,avg_spend_per_transaction,lifetime_value_per_month,engagement_tier,spend_quartile,recency_score,frequency_score,monetary_score,rfm_score
1,5,150,520.5,12,5,1.0,104.1,104.1,low,Q1,4,1,2,7
2,12,360,1250.0,45,12,1.0,104.16666666666667,104.16666666666667,low,Q2,1,3,3,7
3,2,90,155.25,80,2,0.6666666666666666,77.625,51.75,low,Q1,1,1,1,3
4,25,720,3100.0,5,25,1.0416666666666667,124.0,129.16666666666666,low,Q4,5,5,5,15
5,8,240,680.75,28,8,1.0,85.09375,85.09375,low,Q2,2,2,2,6
6,1,45,55.0,39,1,0.6666666666666666,55.0,36.666666666666664,low,Q1,2,1,1,4
7,30,900,4650.2,2,30,1.0,155.00666666666666,155.00666666666666,low,Q4,5,5,5,15
8,15,450,1520.8,18,15,1.0,101.38666666666667,101.38666666666667,low,Q3,3,3,3,9
9,3,100,215.4,55,3,0.8999999999999999,71.8,64.62,low,Q1,1,1,1,3
10,20,600,2450.0,7,20,1.0,122.5,122.5,low,Q3,5,4,4,13
11,4,120,325.6,40,4,1.0,81.4,81.4,low,Q1,2,1,1,4
12,18,540,1890.3,14,18,1.0,105.01666666666667,105.01666666666667,low,Q3,4,4,4,12
13,6,180,495.1,35,6,1.0,82.51666666666667,82.51666666666667,low,Q1,2,2,1,5
14,22,660,2690.4,9,22,1.0,122.2909090909091,122.2909090909091,low,Q3,4,4,4,12
15,10,300,950.0,24,10,1.0,95.0,95.0,low,Q2,2,2,2,6
16,2,60,185.3,58,2,1.0,92.65,92.65,low,Q1,1,1,1,3
17,28,840,3580.9,4,28,1.0,127.88928571428572,127.88928571428572,low,Q4,5,5,5,15
18,14,420,1290.0,20,14,1.0,92.14285714285714,92.14285714285714,low,Q2,3,3,3,9
19,7,210,510.6,32,7,1.0,72.94285714285715,72.94285714285715,low,Q1,2,2,2,6
20,24,720,2950.0,6,24,1.0,122.91666666666667,122.91666666666667,low,Q4,5,5,5,15
21,9,270,820.4,25,9,1.0,91.15555555555555,91.15555555555555,low,Q2,2,2,2,6
22,11,330,1110.0,22,11,1.0,100.9090909090909,100.9090909090909,low,Q2,3,2,2,7
23,13,390,1320.5,19,13,1.0,101.57692307692308,101.57692307692308,low,Q2,3,3,3,9
24,17,510,1750.0,15,17,1.0,102.94117647058823,102.94117647058823,low,Q3,3,3,3,9
25,19,570,2100.2,10,19,1.0,110.53684210526315,110.53684210526315,low,Q3,4,4,4,12
26,21,630,2350.5,8,21,1.0,111.92857142857143,111.92857142857143,low,Q3,4,4,4,12
27,23,690,2700.0,6,23,1.0,117.3913043478261,117.3913043478261,low,Q4,5,4,4,13
28,27,810,3300.75,3,27,1.0,122.25,122.25,low,Q4,5,5,5,15
29,29,870,4100.0,1,29,1.0,141.3793103448276,141.3793103448276,low,Q4,5,5,5,15
30,16,480,1680.0,16,16,1.0,105.0,105.0,low,Q3,3,3,3,9
31,5,160,530.0,13,5,0.9375,106.0,99.375,low,Q1,4,1,2,7
32,12,370,1260.0,46,12,0.9729729729729729,105.0,102.16216216216216,low,Q2,1,3,3,7
33,2,95,160.0,81,2,0.6315789473684211,80.0,50.526315789473685,low,Q1,1,1,1,3
34,25,730,3120.0,6,25,1.0273972602739727,124.8,128.21917808219177,low,Q4,5,5,5,15
35,8,250,690.0,29,8,0.96,86.25,82.8,low,Q2,2,2,2,6
36,1,50,60.0,41,1,0.6,60.0,36.0,low,Q1,1,1,1,3
37,30,910,4700.0,3,30,0.989010989010989,156.66666666666666,154.94505494505495,low,Q4,5,5,5,15
38,15,460,1540.0,19,15,0.9782608695652174,102.66666666666667,100.43478260869564,low,Q3,3,3,3,9
39,3,105,220.0,56,3,0.8571428571428571,73.33333333333333,62.857142857142854,low,Q1,1,1,1,3
40,20,610,2470.0,8,20,0.9836065573770493,123.5,121.47540983606558,low,Q3,4,4,4,12
41,4,125,330.0,41,4,0.96,82.5,79.19999999999999,low,Q1,1,1,1,3
42,18,550,1910.0,15,18,0.9818181818181819,106.11111111111111,104.18181818181819,low,Q3,3,4,4,11
43,6,185,505.0,36,6,0.9729729729729729,84.16666666666667,81.89189189189189,low,Q1,2,2,1,5
44,22,670,2710.0,10,22,0.9850746268656717,123.18181818181819,121.34328358208955,low,Q4,4,4,4,12
45,10,310,965.0,25,10,0.9677419354838709,96.5,93.38709677419354,low,Q2,2,2,2,6
46,2,65,190.0,59,2,0.9230769230769231,95.0,87.6923076923077,low,Q1,1,1,1,3
47,28,850,3610.0,5,28,0.9882352941176471,128.92857142857142,127.41176470588236,low,Q4,5,5,5,15
48,14,430,1310.0,21,14,0.9767441860465116,93.57142857142857,91.3953488372093,low,Q2,3,3,3,9
49,7,215,520.0,33,7,0.9767441860465116,74.28571428571429,72.55813953488372,low,Q1,2,2,2,6
50,24,730,2980.0,7,24,0.9863013698630138,124.16666666666667,122.46575342465754,low,Q4,5,5,5,15
51,9,275,835.0,26,9,0.9818181818181819,92.77777777777777,91.0909090909091,low,Q2,2,2,2,6
52,11,335,1125.0,23,11,0.9850746268656717,102.27272727272727,100.74626865671642,low,Q2,2,2,2,6
53,13,395,1340.0,20,13,0.9873417721518988,103.07692307692308,101.77215189873418,low,Q2,3,3,3,9
54,17,515,1770.0,16,17,0.9902912621359222,104.11764705882354,103.10679611650485,low,Q3,3,3,3,9
55,19,575,2125.0,11,19,0.9913043478260869,111.84210526315789,110.8695652173913,low,Q3,4,4,4,12
56,21,635,2375.0,9,21,0.9921259842519684,113.0952380952381,112.20472440944881,low,Q3,4,4,4,12
57,23,695,2725.0,7,23,0.9928057553956834,118.47826086956522,117.62589928057554,low,Q4,5,4,4,13
58,27,815,3330.0,4,27,0.9938650306748466,123.33333333333333,122.57668711656441,low,Q4,5,5,5,15
59,29,875,4130.0,2,29,0.9942857142857142,142.41379310344828,141.6,low,Q4,5,5,5,15
60,16,485,1700.0,17,16,0.9896907216494845,106.25,105.15463917525773,low,Q3,3,3,3,9
