order_id,customer_id,order_date,order_amount
O001,C001,2024-01-10,5000
O002,C001,2024-02-15,3500
O003,C002,2024-01-20,7000
O004,C002,2024-02-20,4500
O005,C003,2024-02-05,1200
O006,C004,2024-01-25,6000
O007,C004,2024-03-10,5500
O008,C005,2024-02-20,800
O009,C006,2024-02-15,9000
O010,C006,2024-03-20,6500
O011,C007,2024-03-01,900
O012,C008,2024-02-25,7500
O013,C008,2024-03-25,6000
O014,C009,2024-03-10,1100
O015,C010,2024-03-15,8000
O016,C010,2024-04-10,7000
O017,C012,2024-03-20,5000
O018,C014,2024-04-15,9000
O019,C014,2024-05-10,6500
O020,C015,2024-04-20,700
O021,C999,2024-05-01,4000
