date,daily_revenue,transaction_count,signup_rate
2026-07-01,9800,520,85
2026-07-02,10200,540,88
2026-07-03,10100,530,86
2026-07-04,9900,515,84
2026-07-05,10500,560,90
2026-07-06,10300,550,89
2026-07-07,10000,525,87
2026-07-08,9700,510,82
2026-07-09,10100,535,86
2026-07-10,10400,545,89
2026-07-11,9900,520,85
2026-07-12,10200,540,88
2026-07-13,9800,515,83
2026-07-14,10600,565,92
2026-07-15,10100,530,86
2026-07-16,9950,525,85
2026-07-17,10300,545,89
2026-07-18,10050,535,87
2026-07-19,10250,540,88
2026-07-20,9900,520,84
2026-07-21,10400,550,90
2026-07-22,10100,530,86
2026-07-23,9800,515,83
2026-07-24,10500,555,91
2026-07-25,10000,525,85
2026-07-26,10200,535,87
2026-07-27,10150,540,88
2026-07-28,2000,50,5
2026-07-29,10300,545,89
2026-07-30,9900,520,84
