customer_id,total_transactions,days_as_customer,total_spent,days_since_last_purchase,purchase_count
1,5,150,520.50,12,5
2,12,360,1250.00,45,12
3,2,90,155.25,80,2
4,25,720,3100.00,5,25
5,8,240,680.75,28,8
6,1,45,55.00,39,1
7,30,900,4650.20,2,30
8,15,450,1520.80,18,15
9,3,100,215.40,55,3
10,20,600,2450.00,7,20
11,4,120,325.60,40,4
12,18,540,1890.30,14,18
13,6,180,495.10,35,6
14,22,660,2690.40,9,22
15,10,300,950.00,24,10
16,2,60,185.30,58,2
17,28,840,3580.90,4,28
18,14,420,1290.00,20,14
19,7,210,510.60,32,7
20,24,720,2950.00,6,24
21,9,270,820.40,25,9
22,11,330,1110.00,22,11
23,13,390,1320.50,19,13
24,17,510,1750.00,15,17
25,19,570,2100.20,10,19
26,21,630,2350.50,8,21
27,23,690,2700.00,6,23
28,27,810,3300.75,3,27
29,29,870,4100.00,1,29
30,16,480,1680.00,16,16
31,5,160,530.00,13,5
32,12,370,1260.00,46,12
33,2,95,160.00,81,2
34,25,730,3120.00,6,25
35,8,250,690.00,29,8
36,1,50,60.00,41,1
37,30,910,4700.00,3,30
38,15,460,1540.00,19,15
39,3,105,220.00,56,3
40,20,610,2470.00,8,20
41,4,125,330.00,41,4
42,18,550,1910.00,15,18
43,6,185,505.00,36,6
44,22,670,2710.00,10,22
45,10,310,965.00,25,10
46,2,65,190.00,59,2
47,28,850,3610.00,5,28
48,14,430,1310.00,21,14
49,7,215,520.00,33,7
50,24,730,2980.00,7,24
51,9,275,835.00,26,9
52,11,335,1125.00,23,11
53,13,395,1340.00,20,13
54,17,515,1770.00,16,17
55,19,575,2125.00,11,19
56,21,635,2375.00,9,21
57,23,695,2725.00,7,23
58,27,815,3330.00,4,27
59,29,875,4130.00,2,29
60,16,485,1700.00,17,16
61,5,170,540.00,14,5
62,12,380,1275.00,47,12
63,2,100,165.00,82,2
64,25,740,3140.00,7,25
65,8,260,700.00,30,8
66,1,55,65.00,43,1
67,30,920,4750.00,4,30
68,15,470,1560.00,20,15
69,3,110,225.00,57,3
70,20,620,2490.00,9,20
71,4,130,340.00,42,4
72,18,560,1930.00,16,18
73,6,190,515.00,37,6
74,22,680,2730.00,11,22
75,10,320,980.00,26,10
76,2,70,195.00,60,2
77,28,860,3640.00,6,28
78,14,440,1330.00,22,14
79,7,220,530.00,34,7
80,24,740,3010.00,8,24
81,9,280,850.00,27,9
82,11,340,1140.00,24,11
83,13,400,1360.00,21,13
84,17,520,1790.00,17,17
85,19,580,2150.00,12,19
86,21,640,2400.00,10,21
87,23,700,2750.00,8,23
88,27,820,3360.00,5,27
89,29,880,4160.00,3,29
90,16,490,1720.00,18,16
91,5,180,550.00,15,5
92,12,390,1290.00,48,12
93,2,105,170.00,83,2
94,25,750,3160.00,8,25
95,8,270,710.00,31,8
96,1,60,70.00,45,1
97,30,930,4800.00,5,30
98,15,480,1580.00,21,15
99,3,115,230.00,58,3
100,20,630,2510.00,10,20
