date,revenue,orders,customers
2024-01-01,1149.01,23,19
2024-01-02,979.14,15,12
2024-01-03,1235.53,27,25
2024-01-04,1518.7,23,18
2024-01-05,1012.06,22,19
2024-01-06,1032.52,16,14
2024-01-07,1596.9,28,21
2024-01-08,1373.64,21,18
2024-01-09,1022.74,22,17
2024-01-10,1346.38,24,22
2024-01-11,1064.48,16,12
2024-01-12,1083.51,19,15
2024-01-13,1315.38,22,16
2024-01-14,688.17,11,10
2024-01-15,763.84,14,11
2024-01-16,1131.56,19,16
2024-01-17,1015.11,17,12
2024-01-18,1431.69,22,19
2024-01-19,1083.2,23,18
2024-01-20,949.84,18,16
2024-01-21,1830.85,28,22
2024-01-22,1340.76,21,16
2024-01-23,1445.76,26,19
2024-01-24,1014.77,17,14
2024-01-25,1295.24,25,21
2024-01-26,1507.83,30,22
2024-01-27,1144.9,21,19
2024-01-28,1618.19,31,26
2024-01-29,1340.18,23,19
2024-01-30,1447.37,31,25
2024-01-31,1368.47,21,17
2024-02-01,2118.37,32,27
2024-02-02,1571.92,26,20
2024-02-03,1271.52,22,17
2024-02-04,1848.03,36,33
2024-02-05,1247.01,20,18
2024-02-06,1687.47,28,23
2024-02-07,1048.02,21,16
2024-02-08,1248.11,19,16
2024-02-09,1715.82,27,22
2024-02-10,1888.04,29,21
2024-02-11,1727.17,29,22
2024-02-12,1649.87,28,25
2024-02-13,1602.56,30,26
2024-02-14,1257.19,19,14
2024-02-15,1492.17,23,18
2024-02-16,1576.84,34,27
2024-02-17,2038.61,44,38
2024-02-18,1830.52,34,25
2024-02-19,1204.01,19,14
2024-02-20,1835.16,28,25
2024-02-21,1626.96,33,25
2024-02-22,1543.49,27,23
2024-02-23,1933.69,36,28
2024-02-24,2062.65,32,24
2024-02-25,2035.44,32,25
2024-02-26,1506.55,24,21
2024-02-27,1667.36,30,27
2024-02-28,1860.88,34,31
2024-02-29,2055.11,40,33
2024-03-01,1619.21,35,30
2024-03-02,1707.37,27,21
2024-03-03,1430.86,23,18
2024-03-04,1403.19,21,19
2024-03-05,2004.71,30,22
2024-03-06,2166.34,38,29
2024-03-07,1736.01,28,22
2024-03-08,2056.45,32,24
2024-03-09,1861.31,30,23
2024-03-10,1556.38,31,26
2024-03-11,1855.1,34,28
2024-03-12,2204.53,46,42
2024-03-13,1728.52,26,23
2024-03-14,2204.51,38,31
2024-03-15,944.76,19,15
2024-03-16,1972.56,33,27
2024-03-17,1747.16,30,26
2024-03-18,1626.16,31,24
2024-03-19,1737.98,36,31
2024-03-20,1108.57,18,14
2024-03-21,1633.13,29,24
2024-03-22,1800.17,29,24
2024-03-23,2130.25,38,30
2024-03-24,1525.1,24,22
2024-03-25,1431.6,25,22
2024-03-26,1517.07,26,20
2024-03-27,1935.57,30,27
2024-03-28,1752.84,33,27
2024-03-29,1488.48,31,28
2024-03-30,1794.52,39,35
2024-03-31,1662.77,27,22
2024-04-01,1917.32,33,24
2024-04-02,1409.19,23,18
2024-04-03,1514.6,30,25
2024-04-04,1488.39,31,27
2024-04-05,1160.13,25,20
2024-04-06,1681.25,32,24
2024-04-07,1664.03,29,26
