customer_id,transaction_date,amount
C101,2025-01-05 08:30:00,120.50
C102,2025-01-05 09:15:00,250.00
C101,2025-01-05 14:45:00,45.00
C103,2025-01-06 10:20:00,310.75
C104,2025-01-07 16:10:00,89.99
C102,2025-01-08 11:05:00,175.20
C105,2025-01-10 18:30:00,500.00
C101,2025-01-12 13:00:00,65.00
C103,2025-01-14 20:45:00,210.00
C104,2025-01-15 07:50:00,135.40
C105,2025-01-18 12:15:00,420.00
C102,2025-01-20 15:30:00,95.50
C101,2025-01-22 09:40:00,300.00
C103,2025-01-25 17:25:00,180.25
C104,2025-01-28 11:10:00,260.00
C105,2025-02-01 14:00:00,150.00
C102,2025-02-05 10:50:00,340.00
C101,2025-02-10 19:15:00,115.80
C106,2025-02-12 08:05:00,75.00
C103,2025-02-15 13:40:00,225.50
