customer_id,revenue,age
1,102.50,28
2,95.00,34
3,110.20,45
4,88.90,52
5,100.00,23
6,105.40,41
7,92.15,38
8,115.00,60
9,85.60,19
10,120.00,31
11,10000000.00,35
12,-500.00,42
13,98.00,150
14,103.50,156
15,90.40,29
16,107.00,47
17,99.50,33
18,112.00,50
19,89.00,22
20,101.00,40
21,94.50,37
22,118.00,55
23,87.00,25
24,125.00,63
25,96.00,30
26,104.00,46
27,100.50,32
28,111.00,49
29,86.50,21
30,102.00,39
31,93.00,36
32,116.00,58
33,85.00,20
34,122.00,62
35,97.50,27
36,106.00,44
37,99.00,31
38,113.50,51
39,88.00,24
40,101.50,43
41,95.50,35
42,119.00,57
43,86.00,26
44,124.00,64
45,96.50,29
50,103.00,42
51,91.00,39
52,108.50,47
53,101.20,33
54,114.00,52
55,89.50,23
56,100.80,41
57,94.00,38
58,117.50,56
59,86.80,21
60,123.00,61
61,96.20,30
62,104.80,45
63,100.70,32
64,111.50,50
65,87.20,22
66,102.80,40
67,93.50,37
68,115.50,59
69,85.40,19
70,121.50,63
71,97.00,28
72,105.80,44
73,99.80,31
74,112.50,51
75,88.50,24
76,101.90,43
77,95.20,36
78,118.50,55
79,86.20,25
80,124.50,65
81,96.80,29
82,105.20,46
83,100.10,33
84,110.50,49
85,87.80,22
86,103.40,41
87,92.80,38
88,116.50,57
89,85.90,20
90,120.50,60
91,95.80,27
92,107.50,45
93,98.80,32
94,113.00,50
95,89.20,23
96,102.20,42
97,94.20,35
98,117.00,56
99,86.40,21
100,122.50,62
